[05/22/26 02:04:09] [INFO] received Windows console close event; shutting log-core down
[05/22/26 02:29:35] [INFO] received Windows console close event; shutting log-core down
[05/22/26 02:34:08] [INFO] received Windows console close event; shutting log-core down
[05/22/26 03:11:35] [INFO] received Windows console close event; shutting log-core down
[05/22/26 03:38:45] [INFO] received Windows console close event; shutting log-core down
[05/22/26 04:13:58] [INFO] received Windows console close event; shutting log-core down
[05/22/26 17:32:23] [INFO] received Windows console close event; shutting log-core down
[05/22/26 21:35:31] [INFO] received Windows console close event; shutting log-core down
[05/22/26 22:01:27] [INFO] received Windows console close event; shutting log-core down
[05/22/26 22:08:53] [INFO] received Windows console close event; shutting log-core down
[05/22/26 22:15:32] [INFO] received Windows console close event; shutting log-core down
[05/22/26 22:22:29] [INFO] received Windows console close event; shutting log-core down
[05/23/26 20:16:10] [INFO] received Windows console close event; shutting log-core down
[05/24/26 10:45:59] [INFO] received Windows console close event; shutting log-core down
[05/24/26 11:09:49] [INFO] received Windows console close event; shutting log-core down
[05/24/26 11:18:06] [INFO] received Windows console close event; shutting log-core down
[05/24/26 13:40:12] [INFO] received Windows console close event; shutting log-core down
[05/24/26 13:56:40] [INFO] received Windows console close event; shutting log-core down
[05/24/26 17:23:29] [INFO] received Windows console close event; shutting log-core down
[05/24/26 17:40:26] [INFO] received Windows console close event; shutting log-core down
[05/24/26 17:42:10] [INFO] received Windows console close event; shutting log-core down
[05/24/26 17:49:08] [INFO] received Windows console close event; shutting log-core down
[05/25/26 14:58:25] [INFO] received Windows console close event; shutting log-core down
[05/25/26 15:08:22] [INFO] received Windows console close event; shutting log-core down
[05/25/26 15:17:11] [INFO] received Windows console close event; shutting log-core down
[05/25/26 15:51:55] [INFO] received Windows console close event; shutting log-core down
[05/25/26 16:09:45] [INFO] received Windows console close event; shutting log-core down
[05/25/26 16:20:41] [INFO] received Windows console close event; shutting log-core down
[05/25/26 16:31:46] [INFO] received Windows console close event; shutting log-core down
[05/25/26 16:55:47] [INFO] received Windows console close event; shutting log-core down
[05/25/26 17:14:20] [INFO] received Windows console close event; shutting log-core down
[05/25/26 17:22:05] [INFO] received Windows console close event; shutting log-core down
[05/25/26 17:28:17] [INFO] received Windows console close event; shutting log-core down
[05/25/26 20:04:24] [INFO] received Windows console close event; shutting log-core down
